日期(年/月),單位,全國發電量_總計(數值),全國發電量_抽蓄水力(數值),全國發電量_火力_合計(數值),全國發電量_火力_燃煤(數值),全國發電量_火力_燃油(數值),全國發電量_火力_燃氣(數值),全國發電量_核能(數值),全國發電量_再生能源_合計(數值),全國發電量_再生能源_慣常水力(數值),全國發電量_再生能源_地熱(數值),全國發電量_再生能源_太陽光電(數值),全國發電量_再生能源_風力(數值),全國發電量_再生能源_生質能(數值),全國發電量_再生能源_廢棄物(數值),台電發電量_合計(數值),台電發電量_抽蓄水力(數值),台電發電量_火力_小計(數值),台電發電量_火力_燃煤(數值),台電發電量_火力_燃油(數值),台電發電量_火力_燃氣(數值),台電發電量_核能(數值),台電發電量_再生能源_小計(數值),台電發電量_再生能源_慣常慣常水力(數值),台電發電量_再生能源_地熱(數值),台電發電量_再生能源_太陽光電(數值),台電發電量_再生能源_風力(數值),民營電廠發電量_合計(數值),民營電廠發電量_火力_小計(數值),民營電廠發電量_火力_燃煤(數值),民營電廠發電量_火力_燃氣(數值),民營電廠發電量_再生能源_小計(數值),民營電廠發電量_再生能源_慣常水力(數值),民營電廠發電量_再生能源_地熱(數值),民營電廠發電量_再生能源_太陽光電(數值),民營電廠發電量_再生能源_風力(數值),自用發電設備發電量_合計(數值),自用發電設備發電量_火力_小計(數值),自用發電設備發電量_火力_燃煤(數值),自用發電設備發電量_火力_燃油(數值),自用發電設備發電量_火力_燃氣(數值),自用發電設備發電量_再生能源_小計(數值),自用發電設備發電量_再生能源_慣常水力(數值),自用發電設備發電量_再生能源_地熱(數值),自用發電設備發電量_再生能源_太陽光電(數值),自用發電設備發電量_再生能源_風力(數值),自用發電設備發電量_再生能源_生質能(數值),自用發電設備發電量_再生能源_廢棄物(數值)
200810,百萬度,19976.83216,289.0308,15535.23006,9669.897901,1110.041456,4755.290704,3336.1304,816.440903,515.377225,0,0.414503,46.762379,20.685515,233.201281,14210.87573,289.0308,10066.25613,5950.9304,821.981993,3293.343736,3336.1304,519.458397,495.253135,0,0.008946,24.196316,2738.254111,2696.350752,1296.559784,1399.790968,41.903359,20.12409,0,0,21.779269,3027.702327,2772.62318,2422.407717,288.059463,62.156,255.079147,0,0,0.405557,0.786794,20.685515,233.201281
200811,百萬度,17149.28406,263.12477,13453.54681,8997.834723,835.892906,3619.819181,2819.7886,612.823878,273.80846,0,0.429607,81.649341,16.037242,240.899228,11954.12134,263.12477,8568.712319,5274.1431,588.667343,2705.901876,2819.7886,302.495653,259.88674,0,0.007019,42.601894,2571.405406,2519.746576,1640.249403,879.497173,51.65883,13.92172,0,0,37.73711,2623.75731,2365.087915,2083.44222,247.225563,34.420132,258.669395,0,0,0.422588,1.310337,16.037242,240.899228
200812,百萬度,16511.73812,260.64328,12717.16816,9108.278614,699.580018,2909.309532,3009.6174,524.30928,164.786009,0,0.616471,82.778607,22.827496,253.300697,10500.94821,260.64328,7032.496243,4961.4578,433.507841,1637.530602,3009.6174,198.191287,162.163759,0,0.007544,36.019984,3331.768687,3283.698151,2035.426387,1248.271764,48.070536,2.62225,0,0,45.448286,2679.021227,2400.97377,2111.394427,266.072177,23.507166,278.047457,0,0,0.608927,1.310337,22.827496,253.300697
200901,百萬度,15279.44496,277.307655,10653.32209,8517.92827,704.53586,1430.857955,3743.945,604.870222,219.81221,0,0.600222,95.501976,19.523366,269.432448,10234.55505,277.307655,5947.301261,4723.202,442.021476,782.077785,3743.945,266.001134,213.06705,0,0.007705,52.926379,2454.797549,2406.435917,1796.283554,610.152363,48.361632,6.74516,0,0,41.616472,2590.092363,2299.584907,1998.442716,262.514384,38.627807,290.507456,0,0,0.592517,0.959125,19.523366,269.432448
200902,百萬度,15397.97848,253.25085,11138.26202,8122.4559,624.650008,2391.156109,3464.1802,542.285417,210.473371,0,0.649183,75.312774,13.371332,242.478757,9902.593639,253.25085,5957.540453,4457.891,345.610001,1154.039452,3464.1802,227.622136,195.423251,0,0.007238,32.191647,2948.342166,2890.649983,1694.927074,1195.722909,57.692183,15.05012,0,0,42.642063,2547.042679,2290.071581,1969.637826,279.040007,41.393748,256.971098,0,0,0.641945,0.479064,13.371332,242.478757
200903,百萬度,17585.92395,277.621808,13428.127,9684.291161,758.952882,2984.882961,3274.3748,605.800335,259.295063,0,0.646399,74.250437,22.170328,249.438108,11361.12873,277.621808,7526.997073,5326.4258,481.534241,1719.037032,3274.3748,282.135044,245.344345,0,0.0071,36.783599,3407.102789,3356.425845,2144.464091,1211.961754,50.676944,13.950718,0,0,36.726226,2817.692433,2544.704086,2213.40127,277.418641,53.884175,272.988347,0,0,0.639299,0.740612,22.170328,249.438108
200904,百萬度,17737.09139,283.52612,13583.9494,9647.810533,782.4086,3153.730264,3222.9546,646.661274,341.484306,0,0.696014,72.94598,14.602072,216.932902,11567.53751,283.52612,7701.990573,5043.505572,528.594304,2129.890697,3222.9546,359.06622,328.143057,0,0.008531,30.914632,3070.152637,3015.441893,2045.901038,969.540855,54.710744,13.341249,0,0,41.369495,3099.401241,2866.516931,2558.403923,253.814296,54.298712,232.88431,0,0,0.687483,0.661853,14.602072,216.932902
200905,百萬度,19401.72269,304.61195,15227.9617,10149.3245,750.458104,4328.179093,3229.114,640.035037,354.908311,0,0.689142,33.075919,17.220307,234.141358,12723.38165,304.61195,8831.082474,5401.854521,517.917282,2911.310671,3229.114,358.573226,339.589444,0,0.010314,18.973468,3506.609226,3477.457094,2117.742833,1359.714261,29.152132,15.318867,0,0,13.833265,3171.731812,2919.422133,2629.72715,232.540822,57.154161,252.309679,0,0,0.678828,0.269186,17.220307,234.141358
200906,百萬度,20611.60932,288.578,15981.08037,10635.2177,718.487619,4627.375056,3693.7847,648.166246,339.576065,0,0.725045,30.914367,14.876258,262.074511,13106.67185,288.578,8781.59087,5466.460455,370.483258,2944.647157,3693.7847,342.718275,330.070033,0,0.009249,12.638993,3823.252184,3795.76211,2172.020474,1623.741636,27.490074,9.506032,0,0,17.984042,3681.685291,3403.727394,2996.73677,348.004361,58.986263,277.957897,0,0,0.715796,0.291332,14.876258,262.074511
200907,百萬度,22609.15993,299.046,17949.35101,11232.37187,792.799558,5924.179587,3731.6853,629.077615,310.304143,0,0.739054,29.417701,15.181924,273.434793,14670.33773,299.046,10333.18985,5916.44361,451.617903,3965.12834,3731.6853,306.416576,293.428454,0,0.009627,12.978495,4081.643862,4048.603202,2151.597526,1897.005676,33.04066,16.875689,0,0,16.164971,3857.178335,3567.557956,3164.33073,341.181655,62.045571,289.620379,0,0,0.729427,0.274235,15.181924,273.434793
